Period	Period mid	R
3	3	0.8259704533620822
3	6	0.8100878180649977
3	9	0.8925813213406024
3	10	0.94124938043818
3	11	0.9110234142871486
3	12	0.9142306551407616
3	13	0.9132436960944004
3	14	0.900459760431505
3	15	0.87011393690884
3	16	0.8257768249632833
4	3	0.8147995972394458
4	5	0.8303478552274051
4	6	0.8950414954949147
4	9	0.8700314813329719
4	15	0.8168050141046185
4	16	0.8144321769491362
4	18	0.8378616060119052
4	28	0.8412683911905116
4	31	0.8822310030467123
4	32	0.8698613152465939
4	33	0.8165472394371291
4	34	0.846607687120843
4	35	0.8192405521875464
4	36	0.8627574029375737
4	37	0.8634874293216045
4	38	0.8259345759601006
4	39	0.8256704036954212
5	3	0.9385672876444116
5	4	0.9304646935669716
5	5	0.8595968184357177
5	6	0.947195838378883
5	7	0.8815177405487938
5	11	0.9024922692524467
5	12	0.904287181405872
5	14	0.9417157519726914
5	15	0.9314995861213692
5	16	0.9048584465043222
5	17	0.921082121010901
5	18	0.9458266324448273
5	21	0.946185004943989
5	22	0.938866948878771
5	23	0.9216014054675452
5	24	0.8579923523379424
5	25	0.849803098268307
5	26	0.9036756192290003
5	27	0.878968772932482
5	28	0.9193545749465372
5	29	0.8557423843241907
5	30	0.8674649825865522
5	31	0.908710337647638
5	32	0.904635267249161
5	33	0.9101545721545389
5	34	0.8761077283115523
5	35	0.8686474591506043
5	36	0.829323235027202
5	39	0.8042003158883378
6	3	0.9173921821222879
6	4	0.9470707267328418
6	6	0.9421454241418963
6	7	0.944542917017032
6	8	0.931857641447004
6	9	0.9443411918684358
6	10	0.9238901952151986
6	11	0.9061300934861949
6	12	0.9377789637599344
6	13	0.9476885572290555
6	14	0.9279571379413283
6	15	0.8543999039622809
6	39	0.8135991858663946
7	5	0.9493454284858628
7	6	0.9291479777092748
7	7	0.9476649984132441
7	8	0.9470374702630173
7	9	0.9322010051602765
7	10	0.8878895913112295
7	11	0.8864092000365965
7	15	-0.8144317847550036
7	39	0.8071155848607993
8	5	0.9184693107945439
8	6	0.9330967416398624
8	7	0.9301076196435196
8	8	0.8148159823052844
8	21	0.8418561503785289
8	22	0.8957810113833478
8	23	0.8956426226317463
8	24	0.8664699956096518
8	25	0.877232118115212
8	26	0.8353497073064563
8	28	0.8114583545425728
8	30	0.8310379569743946
8	32	0.8340939117247862
8	33	0.9004386630315481
8	34	0.8891205029758747
8	35	0.8824196676233407
8	36	0.9113024738039944
8	37	0.9216602684420196
8	38	0.8725460304554025
8	39	0.8937399409803637
9	4	0.9247279046310714
9	5	0.8348504668696194
9	15	0.8079225531792675
9	16	0.8578597409953276
9	17	0.9023757942318456
9	18	0.8848264924281829
9	19	0.9039791233074365
9	20	0.9107910180192277
9	21	0.9165187985181279
9	22	0.9484401745448648
9	23	0.9124283596831237
9	24	0.9054188818526274
9	25	0.9141222097219348
9	26	0.8644716587645122
9	27	0.8818075659826983
9	28	0.851735998393993
9	39	0.8627393026684766
10	3	0.896153806063914
10	11	0.8097754439061575
10	13	0.858155014447763
10	14	0.8909406090638659
10	15	0.906438509113781
10	16	0.9154094590587782
10	17	0.9040482856779716
10	18	0.8288729889254506
10	29	0.8477909196219248
10	30	0.9108406871857225
10	31	0.8608636554334208
10	32	0.894052763992692
11	10	0.8210354559233998
11	11	0.9156303896346215
11	12	0.9192081796909183
11	13	0.8380008897351632
11	14	0.8158882215183461
11	23	0.8641652584532634
11	26	0.8054268776575695
12	7	0.8024608704031324
12	8	0.8988298262382518
12	9	0.8853706501108771
12	10	0.8005900356214484
12	11	0.8226767938414148
12	16	0.8155042112772857
12	17	0.8980400515220509
12	19	0.9480806537043608
12	20	0.8943548500996892
12	21	0.8858021021760779
13	5	0.9106971158037231
13	6	0.9093616934966733
13	7	0.9429715984238487
13	8	0.8749584526484291
13	13	0.8948227390908293
13	15	0.9286969145397393
13	16	0.92842994236918
13	17	0.8368973913761868
13	18	0.8199263583083606
14	4	0.9406611019654055
14	5	0.9018040834035764
14	6	0.9380373397201869
14	7	0.8087168029202452
14	11	0.9312616011580274
14	12	0.9352486841752552
14	13	0.9018308669239629
14	14	0.850986037770086
14	27	0.840015315607642
15	3	0.8985711417102058
15	4	0.8611488781413558
15	5	0.8869050337986136
15	9	0.9170487449742805
15	10	0.9267300069806894
15	11	0.8543978322208412
15	12	0.8074990950743253
15	20	0.8202175678775986
15	21	0.8567019397126235
15	22	0.8265754870804304
16	3	0.8217491392544196
16	4	0.8457496002301479
16	5	0.8618143915023614
16	8	0.8934881761824842
16	9	0.8823258037077266
16	10	0.8560844185020469
16	17	0.8611086014521844
16	18	0.8701819621699218
16	19	0.8320921248892174
17	3	0.8926466775266568
17	4	0.8746050062986335
17	6	0.8317304426504716
17	7	0.9069762842450529
17	14	0.9021676437791626
17	15	0.8727488276562447
17	16	0.8637842609264834
18	3	0.9323624030272893
18	4	0.9198996421799212
18	5	0.8699539216769339
18	12	0.9027110002868924
18	13	0.8687358398926854
18	14	0.8016674051689048
18	15	0.8267006770959071
19	3	0.9352592889782799
19	4	0.8694987847833919
19	9	0.8302137824602293
19	10	0.8854844388620133
19	11	0.9316927210794586
19	12	0.8328649326620668
19	14	0.8032846940585534
20	3	0.8833693460001232
20	8	0.8666312794524896
20	9	0.9364739991115374
20	10	0.8580666932112216
21	8	0.8341654378388488
21	9	0.8168527617387582
21	11	0.8006618881329333
22	9	0.8524538084529997
23	8	0.8232128571667435
32	34	-0.8208047459931975
33	31	-0.8058172639217193
33	39	-0.8395796703135202
34	36	-0.8330661540775842
34	37	-0.8318497597578823
34	38	-0.8300876034494954
34	39	-0.8513441002800434
35	26	-0.8101673262448907
35	32	-0.8578391682762286
35	33	-0.842889839168951
35	34	-0.814535706659581
35	35	-0.8965202150831553
35	36	-0.9001071975139646
35	37	-0.8977315423500849
35	38	-0.9375107056907152
36	9	0.8305015328161647
36	28	-0.8056243918723894
36	29	-0.8565885642369858
36	30	-0.8645519842291806
36	31	-0.865106301070119
36	32	-0.8666951812285629
36	33	-0.9002341295676045
