Period	Period mid	R
6	4	0.9769070303424563
6	5	0.9602322953039923
7	3	0.9676761700910235
8	25	0.9509941573163863
8	30	0.9660530321432401
9	16	0.9570640146337827
9	17	0.9623407616509972
9	18	0.9580239159037013
9	19	0.9595987073530851
9	20	0.9575655931527716
9	22	0.953668336729603
9	24	0.9575974858002775
9	25	0.9577464738697788
10	12	0.9604294577046079
10	14	0.96474086794907
11	9	0.9552790744468928
11	10	0.9511696014154147
11	11	0.954244728615548
12	8	0.9575603707855804
13	5	0.9515595922147996
13	7	0.957522988328379
14	4	0.9659271621283478
14	6	0.9552337150261087
15	3	0.9743520854458037
15	5	0.9621340285525682
16	3	0.9536537668245456
