Period	Period mid	R
3	9	0.8567693580181992
3	10	0.8597730919539944
3	11	0.85518903231649
3	24	-0.8312521814953407
3	26	-0.8142481521901683
3	27	-0.8745811690226345
3	28	-0.9007707205835761
3	29	-0.9187166951403319
3	30	-0.8936906820787092
3	31	-0.8912019156272655
3	32	-0.8741921422219557
3	33	-0.8732120761535637
3	34	-0.8252824646572886
3	35	-0.847938230833676
3	36	-0.8546043382898905
3	37	-0.882246672599545
3	38	-0.8579168288335552
4	5	0.8697730197695962
4	6	0.8429047338496191
4	7	0.862889613355205
4	8	0.8729617963602845
5	3	0.8189968207718643
5	4	0.8509842696518054
5	5	0.8943880013058376
5	6	0.9119738638470104
5	7	0.9025422149357539
5	8	0.8985679141138528
5	10	0.8868844168453679
5	12	0.8552534229632777
5	13	0.8531257038904237
5	14	0.8705547912842349
5	15	0.8481468989547193
5	17	0.9299967258897879
5	18	0.9300153936888886
5	19	0.8651118161792709
5	27	-0.8755214340872248
5	28	-0.8277384355385361
5	29	-0.8363394731796822
6	3	0.9210665967816081
6	4	0.8531141946138958
6	5	0.919767622453216
6	6	0.8745690989596927
6	7	0.8924852726348352
6	8	0.8379986348088198
6	9	0.8759886871678528
6	10	0.8710831901479998
6	11	0.8662287235773051
6	12	0.8987682798283974
6	13	0.8543403870129557
7	3	0.9207451730821875
7	5	0.8708852908948334
7	6	0.8458386134011721
7	7	0.8916787697373577
7	8	0.9004924571897751
7	9	0.8066004398425464
7	34	0.8292686198362037
7	35	0.823223621988293
7	36	0.8798205477767513
7	37	0.8364782845136148
7	38	0.8563008939937861
7	39	0.8904203186219495
8	3	0.8556309903760776
8	5	0.9054172308504209
8	6	0.8226339390510575
8	7	0.8837099426541875
8	8	0.8558938103010846
8	21	0.8395607881234407
8	22	0.9333754558753891
8	23	0.9347898147116108
8	24	0.9367180645814552
8	25	0.9430722954125758
8	26	0.9189156008141539
8	27	0.9136966872511247
8	28	0.9032759208011957
8	29	0.9146233213283261
8	30	0.9074470764416235
8	31	0.9101804419021483
8	32	0.9237238868201416
8	33	0.9341088904202279
8	34	0.9179033280803214
8	35	0.9354805037093735
8	36	0.935453660097408
8	37	0.9350843399740251
8	38	0.897764265116161
8	39	0.8059992392665335
9	3	0.9049908530122882
9	4	0.9170160262927308
9	5	0.8612976307980529
9	15	0.8084874944030129
9	16	0.9352718662856799
9	17	0.9378180589652452
9	18	0.9486546973023119
9	25	0.9373239668345021
9	26	0.9415899601266209
9	27	0.9321195296292076
9	28	0.905283503232922
9	29	0.826835524968
10	3	0.8539142779030443
10	11	0.8995245487156578
10	12	0.9002250902367862
10	13	0.896489811990762
10	15	0.9460624361688093
10	17	0.9492209718117948
10	18	0.9419190070340049
10	19	0.9058158654217278
10	20	0.9112459645022752
10	21	0.9120204137645962
10	22	0.8077160336285548
10	23	0.8189261021065265
11	8	0.9403157344912669
11	10	0.9290906512959576
11	13	0.9253890407337928
11	14	0.9320582415164738
11	15	0.912962026115503
11	16	0.9000778175660904
11	21	0.8646128962581294
11	22	0.8280338177447061
11	23	0.8130304877584462
12	6	0.8151368802481271
12	7	0.9163885803190643
12	8	0.9472539060304827
12	11	0.9483353920517544
12	12	0.9073334445757472
12	16	0.9177621197179919
12	17	0.8270204753081768
12	18	0.8895544206541496
12	19	0.800948949285946
13	6	0.9429893110406072
13	9	0.9431923006974162
13	10	0.8467426226622846
13	12	0.8211393378655502
13	13	0.8624851447805655
13	14	0.8903607507449917
14	3	0.8416575454842891
14	4	0.9462899991029224
14	7	0.8856280948402797
14	10	0.9370024898736535
14	11	0.8741452948456772
14	12	0.8276441089885082
15	3	0.9392522266037813
15	4	0.9337668017262888
15	5	0.906126650939977
15	7	0.8885067761045041
15	8	0.8583733858487098
15	9	0.8055670332238495
16	3	0.9232833503877292
16	4	0.8508372370138835
16	5	0.8905865683588322
16	6	0.8067498417396711
16	18	0.824723539294038
16	23	0.8250136961998488
17	3	0.8368535868532723
17	4	0.8152774383093412
17	15	0.8265709725769496
18	3	0.8896672800893064
18	4	0.826308073602977
19	3	0.822776696847052
19	14	0.8749889750362352
20	9	0.8071206809740014
20	12	0.8059388374749934
20	36	-0.8510936451314085
20	37	-0.8380473352838257
20	38	-0.8000433178161221
21	8	0.8009573935615334
21	32	-0.814795653574121
21	34	-0.8433092896027451
21	35	-0.8703497579894939
21	36	-0.8578617914744449
21	37	-0.8977562418460406
21	38	-0.9148719610631648
21	39	-0.9296163418420498
22	33	-0.8067292187171788
22	38	-0.8076076524505071
25	17	-0.8195938624280515
25	18	-0.8186200170908167
26	15	-0.8609227573495998
27	14	-0.8203244753717904
28	16	-0.8058217735463337
30	33	-0.8155703075391543
31	30	-0.8502636885153716
31	31	-0.8044150860843917
31	32	-0.8011979026443886
31	34	-0.8105539314546745
31	36	-0.8280951815824653
31	37	-0.856538306464103
31	38	-0.8643450190202715
32	27	-0.8496644455594947
32	28	-0.8697787211602971
32	29	-0.8224660446491755
32	33	-0.8286356561070959
32	34	-0.8853074048135265
32	35	-0.8146676750414764
32	36	-0.8067799145686387
32	37	-0.8094069169501599
32	38	-0.8681295223125018
32	39	-0.8598199782791819
33	25	-0.8277056231953855
33	26	-0.8577621827100937
33	30	-0.825176847786644
33	31	-0.873275936769492
33	32	-0.8264091505079539
33	33	-0.8182686011595028
33	35	-0.8777028421722165
33	36	-0.8666906212454956
33	37	-0.9100209682240874
33	38	-0.9207732088001251
33	39	-0.9311402110944471
34	23	-0.8915445408276418
34	24	-0.823568752038642
34	25	-0.8195866600319337
34	28	-0.8269518808504437
34	29	-0.807056367689905
34	30	-0.8002015629541842
34	31	-0.8181045353214806
34	32	-0.8704576107844306
34	33	-0.8830000116662575
34	34	-0.90873635564455
34	35	-0.9226016652714684
34	36	-0.924786757313184
34	37	-0.8983791228875013
34	38	-0.904075633815197
34	39	-0.9110334251322108
35	20	-0.8231746410503386
35	21	-0.8789232990326795
35	22	-0.8099060966793906
35	23	-0.8030480662810778
35	26	-0.8507906352965359
35	29	-0.859167751476445
35	30	-0.8667557763998974
35	31	-0.8915219449052502
35	32	-0.9096398844673264
35	33	-0.9191187240592635
35	34	-0.8924616740457265
35	35	-0.9288853369893825
35	36	-0.9185891780245546
35	37	-0.9008315245167032
35	38	-0.8955862733596283
35	39	-0.8983993572992486
36	3	-0.8736008819626241
36	18	-0.8653259064693187
36	19	-0.8652731277236586
36	20	-0.8772114265017966
36	21	-0.8436464710030953
36	24	-0.8255596893903661
36	26	-0.8415356139824662
36	27	-0.8527934893951261
36	28	-0.8704178123089495
36	29	-0.9010987159520453
36	30	-0.9138984317467628
36	31	-0.8985635723592864
36	32	-0.9043689383199157
36	33	-0.9382699271439554
36	34	-0.9069197564307477
36	35	-0.8952486276105714
36	36	-0.8969903443031443
36	37	-0.9059490908539972
36	38	-0.9220349705633794
36	39	-0.9077221829366482
37	3	-0.8498295781327745
37	16	-0.8155717978466154
37	17	-0.8165457937514552
37	18	-0.8977945127199447
37	19	-0.8629990861446291
37	22	-0.8548288605371371
37	24	-0.8721561693568878
37	25	-0.8160987880904303
37	26	-0.8921060818547873
37	27	-0.9171343323524352
37	28	-0.9145411284349748
37	29	-0.9070510767552489
37	30	-0.9322472081548681
37	31	-0.9149685225114755
37	32	-0.8985660599631996
37	33	-0.9096874026883149
37	34	-0.9119113192035008
37	35	-0.9219949485071639
37	36	-0.9080020217079496
37	37	-0.8990541708629153
37	38	-0.9158864508468886
37	39	-0.9133133839521316
38	3	-0.8583768975614336
38	4	-0.8509177684614188
38	5	-0.8757906469757645
38	16	-0.8569723659084448
38	17	-0.8932179536477318
38	18	-0.8451529543611208
38	21	-0.83501606047886
38	22	-0.857790903098402
38	23	-0.8183226387919477
38	24	-0.8729229465803163
38	25	-0.9194906263085724
38	26	-0.9306888956133214
38	27	-0.9163852260838119
38	28	-0.9466106761210897
38	29	-0.9034567884588794
38	30	-0.917785590001951
38	31	-0.9059092807017003
38	32	-0.9241842529394851
38	33	-0.9121199240643512
38	34	-0.9166623991358793
38	35	-0.9015599885379544
38	36	-0.9158118875408701
38	37	-0.9390704830817874
38	38	-0.9333595087958504
38	39	-0.939389122569412
39	3	-0.8354883613154485
39	4	-0.8982675261791767
39	5	-0.8661022227859999
39	6	-0.8283863936146901
39	15	-0.8957943505071311
39	16	-0.8541039771945521
39	17	-0.82357906798566
39	18	-0.865386287835269
39	19	-0.9316244305882463
39	20	-0.8678433980920659
39	21	-0.8919772734429787
39	22	-0.8831975781815768
39	23	-0.9289255819176362
39	24	-0.9305010472327383
39	25	-0.9424227369380213
39	26	-0.9343440678842373
39	27	-0.9161067299067518
39	28	-0.9268032592277424
39	29	-0.8862873599452415
39	30	-0.9134497320895685
39	31	-0.916802803009382
39	32	-0.9012793130262825
39	33	-0.9183114702302874
39	34	-0.9407402224133433
39	35	-0.9333920745189481
39	36	-0.9388344850085816
39	37	-0.9321515138586263
39	38	-0.9358233645159031
39	39	-0.9319578789351998
