Period	Period mid	R
3	7	0.8202101229339929
3	8	0.8409319403745328
3	10	0.9436996858049989
3	11	0.8881090300594022
3	12	0.8844533696585429
3	13	0.9054807131551034
3	14	0.8705945208605372
3	23	-0.8053201230343412
3	24	-0.8510551745301901
3	26	-0.8554762463746267
3	29	-0.8495357600480843
3	30	-0.8732251957610232
3	31	-0.8487863373460862
4	3	0.8910519819088424
4	4	0.9410584592327784
4	5	0.9250558597191373
4	6	0.9352970787712116
4	7	0.9199585160132076
4	8	0.906771920557295
4	9	0.8818758633512658
4	10	0.8712027023126099
4	13	0.9329680651919505
4	14	0.9167552198547904
4	15	0.8288332294972388
5	3	0.9436097676290179
5	4	0.9337347325792703
5	5	0.9345136144157885
5	8	0.9095572034850041
5	9	0.830446711801731
5	12	0.821529944860503
5	13	0.9175967942678611
5	14	0.8966869221546201
5	15	0.8856261143620503
5	16	0.9180578312800872
5	17	0.9217391117660085
5	18	0.9047671621783987
5	19	0.8842696937655863
5	20	0.8139341439607678
6	5	0.8714036745146392
6	7	0.8776208810455051
6	8	0.9085312002344444
6	11	0.9108445000889808
6	12	0.9029084969108905
7	3	0.9497320938921902
7	4	0.8151474382344326
7	5	0.9078128498409987
7	7	0.9484359422711798
7	8	0.9254023771126731
8	3	0.9364004781193682
8	23	0.8310017119047929
8	24	0.8040829731622754
8	25	0.8962058004943942
8	26	0.8839805793837437
8	27	0.8414659932833267
8	28	0.8600966108546653
8	29	0.8553431420086429
8	30	0.8262256362851289
9	4	0.8446440404382637
9	6	0.844151865222716
9	15	0.8234976533519771
9	18	0.8039071098720862
9	20	0.8588762836091152
9	21	0.8267982014834462
9	22	0.835114156964105
10	3	0.9248135485194378
10	4	0.859448737601546
10	5	0.8336039363537695
10	11	0.8242683565983343
10	13	0.8159539798179402
10	14	0.8045268930195525
11	3	0.8765088445990029
11	4	0.8296612521644543
11	10	0.8143139595290905
11	11	0.8126697780062562
12	6	0.8819470707224221
12	8	0.8663614064089258
13	5	0.9222839758794393
13	6	0.8631817543999155
13	7	0.8559296462746538
13	8	0.8174763565237696
13	9	0.8620148840928578
14	4	0.9087103514251277
14	5	0.9214663589740215
15	3	0.9018219226652411
15	4	0.8258764057761185
15	5	0.8874664105748803
16	32	-0.8385067693682225
16	33	-0.8248746477308344
16	34	-0.8040261724268486
17	30	-0.8329447083851175
17	32	-0.8387404431140238
17	38	-0.8183123381963304
18	27	-0.8517137305899373
18	28	-0.8585692094005558
18	29	-0.8335558341317325
18	30	-0.80093659031024
18	31	-0.83674943924751
18	32	-0.8144169415584116
18	33	-0.8042042410285972
18	34	-0.813749896756083
