Period	Period mid	R
4	6	0.9544742960540361
4	14	0.9586450558431625
6	13	0.950054885715807
8	33	0.9527459875101914
8	34	0.953817704224735
9	24	0.9543163956156435
10	3	0.9676169313075716
10	16	0.963054554854957
10	17	0.9689902042870637
10	18	0.9597567715875873
11	14	0.9502434294469213
11	15	0.953379192877252
11	16	0.9542435663590357
12	12	0.9656482818593219
12	18	0.9539209048001078
13	7	0.9573779413929706
13	8	0.9628846696773309
13	9	0.9580719413533731
14	6	0.97926734913216
15	4	0.9624491505536372
16	3	0.9769522799253213
16	4	0.9651198469643766
16	5	0.9718168902578823
