Period	Period mid	R
5	6	0.9812187133858006
5	7	0.9749686901681964
5	8	0.9725851455171607
5	10	0.9693221270518808
5	14	0.9530784156386826
6	3	0.9574344603862457
6	4	0.9804627834731778
6	5	0.9802490577766017
6	6	0.9646833806646484
6	7	0.9594649525434539
6	8	0.9538816493038315
6	9	0.9500954250326029
7	3	0.9644810771416554
8	4	0.9510701286811262
8	28	0.9614428295178281
8	29	0.9596698953387437
8	30	0.9528380606260823
8	31	0.9518535240453093
8	32	0.964285582481067
8	33	0.9696298300853445
9	3	0.9580550546218737
9	15	0.9598922188420514
9	16	0.9674911790520301
9	17	0.9630551744824056
9	18	0.9728770949112067
9	19	0.97939626686962
9	20	0.9670886769980231
9	21	0.9787832227354539
9	22	0.9675534413313603
9	23	0.9689349957277218
9	24	0.961520220028964
9	25	0.9503014643389674
10	12	0.9558964971674603
10	14	0.9765687491771354
10	15	0.9685096708791646
10	16	0.9621437334660305
10	17	0.9727797664389469
10	18	0.9659637883559705
11	8	0.9500987815021036
11	9	0.9602590585166808
11	10	0.9577076688884335
11	11	0.9717424927053351
11	12	0.9647979916265252
11	13	0.9552962635673168
11	14	0.9624022966863869
11	15	0.9673258379634586
11	16	0.9513464211467577
12	8	0.9645343165118434
12	9	0.9623894152899061
12	11	0.965128062464384
12	12	0.9637846854702736
12	16	0.9751663955532202
12	18	0.966134412512015
13	5	0.9608244740364522
13	7	0.9631291264416817
13	9	0.9695983046057248
13	10	0.9591243555231747
13	12	0.953743028375307
13	13	0.9763868829658546
13	14	0.9609789190433788
14	4	0.9616659249336227
14	5	0.9622658958860862
14	6	0.9830474983869736
14	7	0.954964723078085
14	10	0.9776189277783943
15	3	0.9698857716310115
15	4	0.9698270496632764
15	5	0.9678917292378014
15	7	0.9638234464913982
16	3	0.9722246391363304
16	4	0.9713028786865182
17	3	0.9769672928000955
18	3	0.9604161973507471
35	36	-0.9537302921301525
35	37	-0.9511266991084905
35	38	-0.9521789938835672
35	39	-0.9562068951870266
36	33	-0.9537447905451729
36	34	-0.9525503436096749
36	36	-0.9572025153513208
36	37	-0.9556295824288988
36	38	-0.9642125417606173
36	39	-0.9647999767183751
37	31	-0.9516831799322915
37	33	-0.952130234760471
37	34	-0.9517810559417795
37	35	-0.9643497220619929
37	36	-0.9622465842702292
37	37	-0.9611127354694039
37	38	-0.9630684227156975
37	39	-0.9678278327903364
38	28	-0.9522053985027477
38	30	-0.9535537341799184
38	31	-0.952003512995843
38	32	-0.9610463211239093
38	33	-0.9621617858394327
38	34	-0.9643537640262385
38	35	-0.9599779050058295
38	36	-0.9650786823389511
38	37	-0.9679873715949407
38	38	-0.9651789327153675
38	39	-0.9649477322875623
39	26	-0.9502256329075344
39	27	-0.9552727124729156
39	28	-0.9579618697540302
39	29	-0.9534197833425189
39	30	-0.9593919354251638
39	31	-0.9643279961195993
39	32	-0.960407846787606
39	33	-0.966656538478691
39	34	-0.9642822139083912
39	35	-0.9674791758647445
39	36	-0.9669780894112541
39	37	-0.9645212228278942
39	38	-0.9510035189201597
