Period	Period mid	R
3	18	0.8468574143687894
4	11	0.8548938499123948
4	12	0.9137851568669689
4	13	0.8994945411034219
4	14	0.8987936392125067
4	18	0.8807566672818145
4	19	0.9028198101519482
5	3	0.8308720642346838
5	4	0.8756517064759277
5	5	0.8594643305626553
5	6	0.9472199404752623
5	7	0.9487672806046377
5	8	0.9187069408098183
5	9	0.851220260664761
5	10	0.9394112310271931
5	11	0.8841365250829357
5	12	0.942072704962153
5	13	0.8858079297480326
5	18	0.8093878882482031
5	19	0.8610300733120698
5	20	0.8439689666129004
6	3	0.9441019419811076
6	6	0.9206988253618809
6	7	0.8488466184720342
6	9	0.8401952300069893
7	4	0.9079115754489121
7	6	0.8729432426841275
7	7	0.8882703491812421
7	13	0.8642231242703319
7	30	0.8085311585751748
7	32	0.9087820513252617
7	33	0.9218723460729208
7	34	0.9275117103211333
7	35	0.9151852835872935
7	36	0.9106930317414214
7	37	0.8856547409637828
7	38	0.9189011604960979
7	39	0.9364134900654422
8	3	0.9165884652802896
8	4	0.8289481568858578
8	5	0.85903632014084
8	22	0.8408744390005632
8	23	0.8739059690879214
8	24	0.9470344409431151
8	26	0.9475916295691568
8	27	0.9435488440165632
8	28	0.949090983451956
8	29	0.9487927871578222
8	31	0.9495070312220693
8	32	0.9379022261673603
8	33	0.9074977411707711
8	34	0.9335193140017589
8	35	0.9326640538309344
8	36	0.9272387797572369
8	37	0.9420341310258781
8	38	0.9193705922356544
8	39	0.8859980580134275
9	3	0.8876192388044852
9	4	0.8537322810900193
9	6	0.8146106830137477
9	14	0.8346727093828954
9	15	0.9272084940396997
9	21	0.9441676627319676
9	23	0.9483898736317865
9	26	0.9160615034614671
9	27	0.8621494771396317
9	28	0.8073009548789376
10	3	0.9188084998819129
10	10	0.8027785566757659
10	11	0.8941409443987476
10	13	0.9470141290381444
10	15	0.9449448411826633
10	16	0.9411721048421877
10	17	0.9131656775232603
10	18	0.9373701325965674
10	19	0.886450436678204
10	20	0.8599623182425522
11	8	0.9218536342175854
11	12	0.9363781713713366
11	13	0.9023806332277053
11	14	0.9292697085773767
11	15	0.8761342798812561
12	6	0.8453670024096462
12	7	0.915111585902637
12	9	0.9317523066918473
12	10	0.9347265363035832
12	11	0.9350960289896139
12	12	0.880643401499554
12	16	0.8742047765135521
12	17	0.8035308143531645
12	18	0.8661095995167277
13	4	0.8374968324380718
13	6	0.9349300981555189
13	8	0.9334507830778295
13	9	0.9090454402138769
13	10	0.8336826193375001
13	12	0.8339008103572642
13	13	0.8681619472352882
13	14	0.9115257893849039
14	3	0.8758870004016637
14	5	0.9315987988973058
14	7	0.9347568748330419
14	8	0.8113455508999564
14	10	0.8983460821093171
14	11	0.8166206354984846
14	12	0.8552437339791813
14	24	0.8696843133535221
14	27	0.8393632922753129
14	28	0.851120423766298
15	4	0.947925814865931
15	6	0.8063755543611453
15	7	0.898703584031428
15	8	0.8686391490929863
15	9	0.8174448950646354
15	10	0.8087339871034914
15	21	0.805271005483529
16	4	0.9105721778378021
16	5	0.9165775745087188
16	6	0.8166491493749997
16	8	0.8392304399801485
16	16	0.8035833994496838
16	17	0.8304177265500167
16	18	0.8789740816772452
17	3	0.8916877133018204
17	4	0.9061021977711498
17	14	0.8641017320425235
17	15	0.8712739831590095
18	3	0.9023170345269528
18	12	0.8554780903856075
18	13	0.8441152664022552
19	3	0.8128983409411268
19	10	0.8430705097989947
19	11	0.8747145286399799
20	3	0.8434981572754033
20	4	0.8243910092557508
20	9	0.837613717684948
21	37	-0.8088548957444368
22	33	-0.8152660946637125
29	12	-0.8077972589861394
29	13	-0.8071424694880378
30	11	-0.8069219997281493
30	12	-0.8094330172527628
31	9	-0.8163811427688289
32	7	-0.8523345641218805
32	8	-0.8291390873537894
32	34	-0.8058541157452312
32	39	-0.8170284565557507
33	6	-0.8452373106439697
33	31	-0.8062804134187708
33	35	-0.836872024194421
33	36	-0.8107224291976484
33	37	-0.8126827469272709
33	38	-0.8405843167470075
33	39	-0.88050092716438
34	31	-0.8022785137498712
34	32	-0.837313878031902
34	33	-0.842097557275229
34	35	-0.8436867744604469
34	36	-0.8781493033054977
34	37	-0.8762211758232468
34	38	-0.8695594830790301
34	39	-0.8688561488097569
35	28	-0.8009913548587445
35	29	-0.8142074591872033
35	30	-0.8476435747253472
35	31	-0.8123358559077639
35	32	-0.8438967171444084
35	33	-0.878306215840049
35	34	-0.8692837463765523
35	35	-0.9015592658159045
35	36	-0.893760411438215
35	37	-0.901206877579805
35	38	-0.8930408267490334
35	39	-0.9034220712786626
36	3	-0.8639269235770173
36	4	-0.8541858050073172
36	26	-0.8317198366712398
36	27	-0.83757086694905
36	28	-0.8119132698599689
36	29	-0.8316098395573152
36	30	-0.8830504770936018
36	31	-0.843771665058764
36	32	-0.8617219722197423
36	33	-0.912352991618874
36	34	-0.9034463136466512
36	35	-0.9019845970699515
36	36	-0.8990883757888922
36	37	-0.9283357905633733
36	38	-0.9283942514518099
36	39	-0.9229439820532153
37	3	-0.8617338334717687
37	4	-0.8345107821852199
37	22	-0.804158761074142
37	24	-0.8487782009787498
37	25	-0.8133049991010262
37	26	-0.8202561873035825
37	27	-0.8899308302058526
37	28	-0.8742492149010141
37	29	-0.8720324842288403
37	30	-0.8899439560663264
37	31	-0.9032961564376809
37	32	-0.8912266355296133
37	33	-0.9036276443415115
37	34	-0.9071408795378988
