Period	Period mid	R
5	13	0.9539869371078386
5	19	0.9580890467365736
5	20	0.9590977192363976
7	4	0.9530182498500331
8	3	0.9702132452482913
8	4	0.9602516735097675
9	3	0.960995808966394
12	18	0.9646201312446372
13	14	0.9507887534532922
35	39	-0.9634733918456242
36	36	-0.9550489203344767
36	37	-0.9586857033416819
36	38	-0.9595816820890657
36	39	-0.9553445634448501
37	33	-0.9554798938350435
37	34	-0.9577759934390339
37	35	-0.9587835521961056
37	36	-0.9513202593324371
37	37	-0.9619197817866054
37	38	-0.9654863849667533
37	39	-0.9670660410732823
38	30	-0.9563895665865377
38	31	-0.9566569073701893
38	32	-0.9553134637854931
38	33	-0.9543268668096208
38	34	-0.9613873513906499
38	35	-0.9660862746958997
38	36	-0.9680725777300567
38	37	-0.971752851440481
38	38	-0.9686322846472217
38	39	-0.9683552985669732
39	27	-0.9590937122031734
39	28	-0.9655781946917851
39	29	-0.9523526327230578
39	30	-0.9559053752590064
39	31	-0.9550034780197384
39	32	-0.96607623123887
39	33	-0.9645196954656411
39	34	-0.9724465612358741
39	35	-0.9659231957448742
39	36	-0.9681394843683886
39	37	-0.9696211731230395
39	38	-0.9770761380681605
39	39	-0.9702936876558683
