Period	Period mid	R
3	33	-0.8327139576984974
3	34	-0.8035106410316497
3	35	-0.8034760114770774
3	36	-0.8039285421956545
3	37	-0.8075343668496915
3	39	-0.8044917229137429
4	6	0.8274072701756731
4	11	0.8136522520635598
4	12	0.8221968499249509
4	13	0.8599579501835075
4	14	0.8234231477729066
4	15	0.8909634277876921
4	30	0.8065762470335043
4	31	0.8772757130316611
5	3	0.8339990627305752
5	6	0.8898603988998925
5	7	0.9071371869791988
5	8	0.9282101843696625
5	9	0.9065172533332735
5	10	0.8563375567677962
5	12	0.8185109595544109
5	13	0.8942069012944899
5	14	0.8606017988309433
5	15	0.8526781028046623
5	17	0.8977206225648087
5	18	0.867968547297827
5	19	0.8376435058421225
5	33	0.8247862090041636
6	3	0.8884535873085685
6	4	0.9441004313500093
6	5	0.9207352703590931
6	6	0.9355220140130327
6	7	0.8895817052695238
6	8	0.8077866880969437
6	9	0.8721508346121283
6	12	0.8547669277962451
6	18	-0.8315398898446813
6	19	-0.81274484598264
6	22	-0.8712119336323427
6	30	0.8202998961301002
6	31	0.8630889796067368
6	32	0.896968037837103
6	33	0.8876810168462199
6	34	0.8532536254427082
6	35	0.9193631317751383
6	36	0.9219932474626643
6	37	0.8617796026598341
6	38	0.8707368689895919
6	39	0.8733293465464139
7	4	0.8022827606524849
7	7	0.8010612828845516
7	14	-0.8978869693584822
7	19	0.8129740752327528
7	20	0.8298522987519508
7	26	0.8494693564267786
7	27	0.8719898670584825
7	28	0.8973692594211282
7	29	0.8481488673296111
7	30	0.8958033883656834
7	31	0.9408509067218794
7	32	0.9492124637628301
7	34	0.9451834630947168
7	35	0.9297919161175489
7	36	0.920100729737018
7	37	0.8944221799577969
7	38	0.8744828810042603
7	39	0.8611666615940546
8	21	0.9002877443195253
8	22	0.933591016512825
8	23	0.939541869802435
8	24	0.9441866543488173
8	27	0.9073969918438833
8	28	0.8912007009364388
8	29	0.8415393288014846
8	30	0.8366804491358282
8	31	0.8292002744496412
8	32	0.8347553230461568
8	33	0.8867422152072679
8	34	0.891195699326775
8	35	0.9028564007909474
8	36	0.8966589325260513
8	37	0.8989695619533302
8	38	0.8325245305751516
8	39	0.8089421676788909
9	3	0.9033433229247403
9	15	0.8664770801241138
9	16	0.9383199527272578
9	17	0.9397963263343241
9	21	0.9354678848423055
9	23	0.8782640504179576
9	24	0.8663723261544233
9	25	0.8777156235909084
9	26	0.8774949295827124
9	27	0.8808473302012481
9	28	0.8494289778771208
9	29	0.8035766853081965
10	11	0.9172150788422015
10	12	0.9380132181087515
10	13	0.9446835054069009
10	14	0.9498063734141565
10	15	0.9380080894865589
10	16	0.9176520031916526
10	17	0.8691010238977314
11	8	0.916854577560427
11	9	0.9496754351768351
11	11	0.9239770987347397
11	12	0.888306528147236
11	13	0.832391053327997
12	6	0.9164932404261654
12	7	0.9416062029331203
12	9	0.8089968959921194
12	17	0.816786589585723
13	3	0.8329770561695707
13	4	0.8966261501771952
13	5	0.9481727819793294
13	6	0.9442923766605854
13	7	0.8043349702252778
13	14	0.8076288480245296
14	4	0.9296998969319198
14	5	0.8985638463467686
14	6	0.8962945528862534
14	7	0.830606872817044
15	3	0.9499364012337742
15	4	0.9149426119415107
15	5	0.932853371417919
15	7	0.8147477812149356
15	8	0.8276128749219003
16	3	0.8637902468964496
16	4	0.8861455452655915
16	5	0.9086102302100455
17	14	0.8094004910384082
17	15	0.8150769183087917
18	3	0.8577886643835197
18	13	0.8553353028949295
19	11	0.8581071348029823
19	14	0.8222666877772963
20	9	0.8633597406789699
20	12	0.8150498130218758
20	13	0.807295363647347
21	8	0.8399267639415811
21	9	0.8588371093658087
21	11	0.8312031460315806
21	12	0.8130346273648927
22	8	0.8140246383259844
22	9	0.8390875434798629
22	10	0.8242774111098158
23	8	0.8552864469373254
23	9	0.8125589828407692
