Period	Period mid	R
3	6	0.8295170786958681
3	7	0.8826996209110886
3	8	0.8906852135057387
3	9	0.8270008068883289
3	10	0.8588021200542029
3	11	0.8797846586098261
3	12	0.8205819209876157
3	22	-0.8651259895280552
3	23	-0.9000612673637615
3	24	-0.9311380671804926
3	25	-0.9359903031843765
3	26	-0.9287507373674608
3	27	-0.8987649799483488
3	28	-0.9246393486660563
3	29	-0.9245365431470557
3	30	-0.8708468874899454
3	31	-0.8384232766254468
3	32	-0.8963772056000172
3	33	-0.886170591972804
3	34	-0.8576134948732798
3	35	-0.8570416939677538
3	39	-0.8013904531867192
4	3	0.8265236011250149
4	5	0.8689867766964764
4	6	0.90620801646679
4	7	0.8953255696115983
4	8	0.9079085740952431
4	9	0.8794852796165454
4	10	0.8699358206599516
4	11	0.9270245195167324
4	12	0.9451211822397383
4	13	0.8674192669834658
4	14	0.8515275618368218
4	15	0.8127372989622174
4	17	0.8441211839425234
5	3	0.8824674066961947
5	4	0.9034824347018902
5	5	0.9221844909716724
5	9	0.9409669316570412
5	11	0.908193563766459
5	12	0.9389113845711297
5	13	0.9353738740982381
5	15	0.9219616458176164
5	16	0.9186242332282135
5	19	0.8761819416140526
5	20	0.920631500121359
6	10	0.9177787620357684
6	11	0.9229623987045977
6	12	0.8603561216767656
6	13	0.8660625096415293
6	16	0.8369974559759906
7	4	0.9310196684693797
7	5	0.9431630503231389
7	6	0.9248018014400664
7	7	0.8711298299026985
7	8	0.9028544066627886
7	13	0.8819144336696723
7	18	0.8289824514356023
7	31	0.8574796957825063
7	32	0.8950956311764083
7	33	0.9256619733925793
7	34	0.9177965836534924
7	35	0.9185537260966407
7	36	0.9078247070708012
7	37	0.8612307542295978
7	38	0.867982773678363
7	39	0.8736193529472069
8	3	0.9457251348037686
8	5	0.9495862490393365
8	6	0.8717398914036948
8	7	0.9107282591618407
8	8	0.8166235195074117
8	9	0.8532976968001793
8	11	0.8107061446773791
8	21	0.8436781623385748
8	22	0.9376857353912633
8	23	0.9397371681078694
8	24	0.9473793043900893
8	25	0.9497651379734559
8	26	0.9220447065763004
8	27	0.9370379696616942
8	34	0.9373748629147117
8	35	0.9399798518001202
8	36	0.939020698475987
8	37	0.9374581303658641
8	38	0.9128012933648179
8	39	0.8958227381393251
9	4	0.9419187212408963
9	5	0.8025865110919012
9	6	0.8577961231257737
9	14	0.9134074247381232
9	26	0.9317928802139067
9	27	0.8948600168484041
9	28	0.8897989015262084
9	29	0.8194703011550591
10	3	0.8884934616620302
10	10	0.9005427892621073
10	11	0.9421345905616034
10	13	0.9478732729196738
10	19	0.9491087792215185
10	20	0.9495853016555722
10	21	0.928546784580168
10	22	0.8058237908657738
10	23	0.8777977738348519
10	24	0.8629572821191641
11	17	0.9236585028255527
11	18	0.8472125614125072
11	19	0.8962943369741951
11	20	0.9430958774530324
11	21	0.9414348965940903
11	22	0.8995094159661762
11	23	0.9055846193136767
11	24	0.809113800884943
11	26	0.8034318058083914
12	6	0.8680006263767127
12	7	0.9399780708644262
12	10	0.94773148978827
12	13	0.9449523080570503
12	14	0.9360264894963667
12	15	0.9408793115724225
12	17	0.94796444198375
12	19	0.9019888307420592
12	20	0.82550994336553
12	22	0.8132522267124569
13	6	0.9481447007278948
13	8	0.9494013848585316
13	11	0.8949756957156964
13	15	0.8549133652009285
13	16	0.8475347465977715
14	3	0.9037801860797804
14	8	0.9402802984490813
